CausalGraph1.csv_0,CausalGraph2.csv_0,1.0
CausalGraph1.csv_1,CausalGraph2.csv_1,1.0
CausalGraph1.csv_2,CausalGraph2.csv_2,1.0
CausalGraph1.csv_3,CausalGraph2.csv_3,1.0
CausalGraph1.csv_4,CausalGraph2.csv_4,1.0
CausalGraph1.csv_5,CausalGraph2.csv_5,1.0
CausalGraph1.csv_6,CausalGraph2.csv_6,1.0
CausalGraph1.csv_7,CausalGraph2.csv_7,1.0
CausalGraph1.csv_8,CausalGraph2.csv_8,1.0
CausalGraph1.csv_9,CausalGraph2.csv_9,1.0
CausalGraph1.csv_10,CausalGraph2.csv_10,1.0
CausalGraph1.csv_11,CausalGraph2.csv_11,1.0
CausalGraph1.csv_12,CausalGraph2.csv_12,1.0
CausalGraph2.csv_0,CausalGraph3.csv_0,1.0
CausalGraph2.csv_1,CausalGraph3.csv_1,1.0
CausalGraph2.csv_2,CausalGraph3.csv_2,1.0
CausalGraph2.csv_3,CausalGraph3.csv_3,0.3333333333333333
CausalGraph2.csv_3,CausalGraph3.csv_5,0.3333333333333333
CausalGraph2.csv_4,CausalGraph3.csv_4,1.0
CausalGraph2.csv_5,CausalGraph3.csv_12,0.5
CausalGraph2.csv_6,CausalGraph3.csv_6,1.0
CausalGraph2.csv_7,CausalGraph3.csv_7,1.0
CausalGraph2.csv_8,CausalGraph3.csv_8,1.0
CausalGraph2.csv_9,CausalGraph3.csv_9,1.0
CausalGraph2.csv_10,CausalGraph3.csv_10,1.0
CausalGraph2.csv_11,CausalGraph3.csv_3,0.5
CausalGraph2.csv_12,CausalGraph3.csv_11,1.0
CausalGraph3.csv_0,CausalGraph4.csv_0,1.0
CausalGraph3.csv_1,CausalGraph4.csv_6,0.5
CausalGraph3.csv_2,CausalGraph4.csv_2,1.0
CausalGraph3.csv_3,CausalGraph4.csv_3,1.0
CausalGraph3.csv_4,CausalGraph4.csv_7,0.5
CausalGraph3.csv_5,CausalGraph4.csv_4,1.0
CausalGraph3.csv_6,CausalGraph4.csv_5,1.0
CausalGraph3.csv_7,CausalGraph4.csv_8,1.0
CausalGraph3.csv_8,CausalGraph4.csv_9,1.0
